country,title,description,published_at,source_name,url
Nepal,Man who stabbed English tourist in Dublin's Temple Bar is jailed,Jordan Carroll was one of three people involved in the attack on the tourist who had travelled to Dublin to celebrate a friend’s birthday.,2026-04-24T19:31:00Z,The Journal,https://www.thejournal.ie/man-who-stabbed-english-tourist-temple-bar-jailed-7023179-Apr2026/
Nepal,No Court Pronouncement Has Invalidated Lagos Monthly Sanitation - Environment Commissioner,No Court Pronouncement Has Invalidated Lagos Monthly Sanitation — Environment Commissioner,2026-04-24T19:30:42Z,Channels Television,https://www.channelstv.com/2026/04/24/no-court-pronouncement-has-invalidated-lagos-monthly-sanitation-environment-commissioner/
Nepal,JT Lady Jaguars complete double against UCU Lady Canons,JT Lady Jaguars completed a hard-fought 74-70 victory against UCU Lady Canons in the NBL encounter at Lugogo Indoor Arena on Friday.,2026-04-24T19:30:42Z,Kawowo Sports,https://kawowo.com/2026/04/24/jt-lady-jaguars-complete-double-against-ucu-lady-canons/
Nepal,"Rathlin Island: Hike through history, wildlife & haunting beauty",Watch Tracks and Trails Fridays on RTÉ One at 8:30pm.,2026-04-24T19:30:31Z,RTE.ie,https://www.rte.ie/lifestyle/travel/2026/0424/1569635-rathlin-island-hike-through-history-wildlife-haunting-beauty/
Nepal,How war is reshaping life for Israel’s wives and mothers,"DOMESTIC AFFAIRS: Eliana reflects a familiar reality for many women in Israel: Emotional yet composed, missing a husband deeply while fully aware he has a job to do, and proud that he is doing it.",2026-04-24T19:30:20Z,The Jerusalem Post,https://www.jpost.com/israel-news/article-894021
Nepal,Jennifer Aniston spotted script in hand filming intense scenes,"Jennifer Aniston is back under the studio lights and fully in character as filming for Season 5 of The Morning Show gets underway.Spotted in downtown Los Angeles, the actress looked deep in concentration while clutching a script,...",2026-04-24T19:29:10Z,Geo News,https://www.geo.tv/latest/661526-jennifer-aniston-spotted-script-in-hand-filming-intense-scenes
Nepal,Stop the TGMA Artiste of the Year noise - Ice King of Aburi tells Medikal,"Ghanaian musician Ice King of Aburi has taken a swipe at Medikal for allegedly campaigning for the coveted Artiste of the Year award at the upcoming Telecel Ghana Music Awards (TGMAs), insisting that such efforts rarely lead to success.",2026-04-24T19:29:07Z,GhanaWeb,https://www.ghanaweb.com/GhanaHomePage/entertainment/Stop-the-TGMA-Artiste-of-the-Year-noise-Ice-King-of-Aburi-tells-Medikal-2031495
Nepal,"Cyril Fuego drops debut album 'Fishes & Snails,' fetches $5,000 at Kumasi launch","Kumasi-based rapper Cyril Fuego has turned heads with the release of his debut album 'Fishes & Snails,' a nine-track project that is already generating serious buzz across the Kumerica music scene.",2026-04-24T19:29:07Z,GhanaWeb,https://www.ghanaweb.com/GhanaHomePage/entertainment/Cyril-Fuego-drops-debut-album-Fishes-Snails-fetches-5-000-at-Kumasi-launch-2031496
Nepal,Media Insider: Prime Minister Christopher Luxon ditches Tova O’Brien and TVNZ Breakfast,A shrewd PR move or a misstep? Communication experts analyse PM Christopher Luxon’s decision to refuse Breakfast each Monday morning. It took only three...,2026-04-24T19:26:38Z,NZ Herald,https://www.nzherald.co.nz/business/media-insider/media-insider-prime-minister-christopher-luxon-ditches-tova-obrien-and-tvnz-breakfast-will-it-help-or-hurt-him/premium/JHHPQM7EGJDIRLPJJUZ27HNPN4/
Nepal,Anzac Day live updates: Australians honour our fallen at dawn services across the country,"Crowds in Sydney, Melbourne and Adelaide all tried to shut down the disruption with cheers of their own as Australians remember our fallen Anzac heroes.",2026-04-24T19:26:00Z,7NEWS,https://7news.com.au/news/anzac-day-live-updates-australians-honour-our-fallen-at-dawn-services-across-the-country-c-22190389
