DOG BREED REPORT
                              name life_span                                                                   temperament                                                  origin              breed_group                         weight                       height
                     Affenpinscher     12-15                                  Confident, alert, playful, loyal, courageous                                                 Germany                      Toy                        3.2-4.5                        23-29
                      Afghan Hound     12-15                               Independent, dignified, aloof, loyal, confident                                             Afghanistan                    Hound     Male: 25-30; Female: 20-25   Male: 69-74; Female: 63-69
                  Airedale Terrier     11-14                Confident, intelligent, courageous, alert, energetic, outgoing                                      Yorkshire, England                  Terrier     Male: 23-32; Female: 18-25   Male: 58-61; Female: 56-58
                            Akbash     10-12                      Independent, protective, calm, alert, loyal, intelligent                                          Western Turkey                 Guardian     Male: 41-64; Female: 34-48   Male: 71-86; Female: 69-81
                             Akita     10-13                  Courageous, loyal, dignified, independent, protective, alert                                                   Japan                  Working     Male: 45-59; Female: 32-45   Male: 66-71; Female: 61-66
        Alapaha Blue Blood Bulldog     12-13                              Loyal, protective, intelligent, confident, alert Alapaha River region of southern Georgia, United States                  Working     Male: 32-41; Female: 25-34   Male: 51-61; Female: 46-56
                     Alaskan Husky     10-15         Energetic, intelligent, work-focused, athletic, friendly, independent                                   Alaska, United States                    Mixed     Male: 17-27; Female: 16-25   Male: 53-66; Female: 51-64
                  Alaskan Malamute     10-14      Affectionate, friendly, loyal, playful, intelligent, energetic, outgoing                                   Alaska, United States                  Working     Male: 36-41; Female: 32-36   Male: 61-66; Female: 56-61
                  American Bulldog     10-12             Confident, loyal, protective, energetic, affectionate, courageous                                           United States                  Working     Male: 34-45; Female: 27-36   Male: 56-64; Female: 51-58
                    American Bully      8-13             Confident, gentle, loyal, affectionate, outgoing, eager to please                                           United States                Companion     Male: 29-54; Female: 25-45   Male: 43-51; Female: 41-48
               American Eskimo Dog      None             Intelligent, alert, friendly, playful, energetic, eager to please                                           United States             Non-Sporting                           3-16                        23-48
                 American Foxhound     11-13                         Independent, friendly, gentle, energetic, intelligent                                           United States                    Hound     Male: 29-32; Female: 27-29   Male: 56-64; Female: 53-61
         American Pit Bull Terrier     12-16       Confident, intelligent, loyal, affectionate, eager to please, energetic                                           United States                  Terrier     Male: 16-27; Female: 14-23   Male: 46-53; Female: 43-51
    American Staffordshire Terrier     12-16                              Confident, courageous, loyal, intelligent, smart                                           United States                  Terrier     Male: 25-32; Female: 18-25   Male: 46-48; Female: 43-46
            American Water Spaniel     10-14                         Eager to please, intelligent, energetic, alert, happy                                Wisconsin, United States                 Sporting     Male: 14-20; Female: 11-18                        38-46
               Kangal Shepherd Dog     12-15                      Loyal, protective, independent, calm, intelligent, alert                                           Sivas, Turkey                  Working     Male: 50-66; Female: 41-54   Male: 76-81; Female: 71-76
            Appenzeller Sennenhund     12-15                 Energetic, intelligent, confident, loyal, alert, work-focused                           Appenzell region, Switzerland                  Working     Male: 22-32; Female: 20-28   Male: 51-56; Female: 48-54
             Australian Cattle Dog     12-16                              Intelligent, alert, loyal, energetic, courageous                                               Australia                  Herding                          16-23   Male: 46-51; Female: 43-48
                 Australian Kelpie     12-16                            Intelligent, energetic, loyal, work-focused, alert                                               Australia                  Herding     Male: 14-21; Female: 12-18   Male: 43-51; Female: 41-48
               Australian Shepherd     12-15                Intelligent, energetic, work-focused, loyal, devoted, athletic                                   Western United States                  Herding     Male: 23-29; Female: 18-25   Male: 51-58; Female: 46-53
                Australian Terrier     11-15                               Courageous, alert, friendly, loyal, intelligent                                               Australia                  Terrier                            7-9                        25-28
                           Azawakh     12-15                    Independent, loyal, alert, protective, affectionate, aloof   West Africa (Sahel region: Mali, Niger, Burkina Faso)                    Hound     Male: 20-25; Female: 15-20   Male: 63-74; Female: 60-70
                            Barbet     12-14                      Friendly, intelligent, loyal, playful, athletic, devoted                                                  France                 Sporting                          17-28   Male: 53-65; Female: 51-61
                           Basenji      None             Independent, intelligent, alert, energetic, curious, affectionate                                          Central Africa                    Hound      Male: 10-12; Female: 9-11 Male: 41-44.5; Female: 38-42
           Basset Bleu de Gascogne     10-14                                   Gentle, friendly, alert, loyal, independent                                         Gascony, France                    Hound                          16-18                        33-38
                      Basset Hound     12-13                           Friendly, calm, gentle, loyal, independent, devoted                                                  France                    Hound                          18-30                        33-38
                            Beagle     10-15                         Friendly, gentle, alert, outgoing, curious, energetic                                                 England                    Hound                           9-14   Male: 33-41; Female: 33-38
                    Bearded Collie     12-14     Intelligent, energetic, playful, affectionate, alert, confident, outgoing                                                Scotland                  Herding                          20-25   Male: 53-56; Female: 51-53
                         Beauceron     10-12                         Intelligent, loyal, protective, courageous, confident                                                  France                  Herding                          32-50   Male: 65-70; Female: 61-68
                Bedlington Terrier     11-16              Intelligent, affectionate, energetic, playful, courageous, alert                                England (Northumberland)                  Terrier                           8-10   Male: 41-44; Female: 38-42
                  Belgian Malinois      None     Intelligent, confident, energetic, loyal, alert, work-focused, protective                                                 Belgium                  Herding     Male: 27-36; Female: 18-27   Male: 61-66; Female: 56-61
                  Belgian Tervuren     12-14                              Intelligent, courageous, alert, loyal, energetic                                                 Belgium                  Herding     Male: 25-34; Female: 20-27   Male: 61-66; Female: 56-61
              Bernese Mountain Dog      7-10                  Calm, gentle, loyal, intelligent, affectionate, good-natured                                             Switzerland                  Working     Male: 36-52; Female: 32-43   Male: 64-70; Female: 58-66
                      Bichon Frisé      None                  Happy, playful, affectionate, intelligent, gentle, energetic                                        France / Belgium             Non-Sporting                            5-8                        24-29
           Black and Tan Coonhound     10-12                  Friendly, outgoing, intelligent, alert, adaptable, easygoing                                           United States                    Hound                          29-50   Male: 64-69; Female: 58-64
                        Bloodhound     10-12                   Gentle, friendly, independent, alert, devoted, affectionate                                                 Belgium                    Hound     Male: 41-50; Female: 36-45   Male: 64-69; Female: 58-64
                Bluetick Coonhound     11-12                           Friendly, intelligent, loyal, devoted, work-focused                                           United States                    Hound     Male: 25-36; Female: 20-29   Male: 56-69; Female: 53-64
                          Boerboel      9-11                               Confident, intelligent, loyal, protective, calm                                            South Africa                  Working     Male: 68-91; Female: 50-68   Male: 61-69; Female: 56-64
                     Border Collie     12-15           Intelligent, energetic, alert, work-focused, loyal, eager to please                            Anglo-Scottish border region                  Herding                          14-25   Male: 48-56; Female: 46-53
                    Border Terrier     12-15            Affectionate, intelligent, alert, energetic, courageous, adaptable             Border regions between England and Scotland                  Terrier       Male: 6-7; Female: 5-6.5   Male: 33-41; Female: 28-36
                    Boston Terrier     11-13                                      Friendly, intelligent, outgoing, playful                    Boston, Massachusetts, United States             Non-Sporting                           5-11                        38-43
              Bouvier des Flandres     10-12                      Loyal, intelligent, protective, courageous, calm, gentle                               Belgium (Flanders region)                  Herding                          32-50   Male: 62-70; Female: 60-67
                             Boxer     10-12                       Playful, energetic, loyal, intelligent, friendly, alert                                                 Germany                  Working     Male: 29-36; Female: 23-29   Male: 58-64; Female: 55-60
                    Boykin Spaniel     10-15                  Friendly, energetic, eager to please, intelligent, adaptable                           South Carolina, United States                 Sporting     Male: 14-18; Female: 11-16   Male: 39-46; Female: 36-42
                   Bracco Italiano     10-14             Gentle, intelligent, affectionate, loyal, calm, docile, adaptable                                                   Italy                 Sporting                          25-40   Male: 58-67; Female: 55-62
                            Briard     10-12                Loyal, intelligent, protective, confident, courageous, devoted                                                  France                  Herding     Male: 32-45; Female: 23-29   Male: 58-69; Female: 56-65
                          Brittany     12-15            Intelligent, energetic, eager to please, friendly, athletic, happy                             Brittany (Bretagne), France                 Sporting                          14-18                        44-52
                      Bull Terrier     12-13                            Playful, courageous, energetic, loyal, mischievous                                                 England                  Terrier                          23-32                        53-56
          Bull Terrier (Miniature)     11-13             Playful, energetic, courageous, confident, affectionate, outgoing                                                 England                  Terrier                           9-15                        25-36
